评论ID,评论时间,点赞数,UID,昵称,性别,用户等级,评论内容
1.27672E+11,20220827,7173,244334889,DionKI,保密,5,"科瓦廖夫插旗是一个骗局。。。真实的情况是，在苏联红军攻克德国首都柏林的大型战役期间，年仅21岁的哈萨克族霍什卡尔巴耶夫的军衔是中尉，是苏联红军第150步兵师第674步兵团的侦察排排长。1945年4月30号霍什卡尔巴耶夫和士兵格里高利·布拉托夫一同将带有镰刀、斧头和一颗五星的胜利旗帜插上了纳粹德国议会大厦的楼顶。他们两人也是当天首组登上国会大厦的苏军军人。
由于民族出身的原因，前苏联时期，苏联官方一直拒绝承认霍什卡尔巴耶夫的事迹。但在民间，霍什卡尔巴耶夫的战友们许多年间持续于4月30日组织活动为他庆祝这一英雄事迹，并逐渐成为了哈萨克斯坦国内的一项重要民间纪念活动。
这其中，作家、记者哈克姆詹·卡兹巴耶夫也为证明和公开勇士的事迹，付出了大量心血。为了让英雄能够得到应有的对待，他根据包尔詹·莫穆舍吾勒的指示，进行了长期的调查取证，通过多方渠道收集了能够反映这一事迹的上百份苏联官方文件，并公诸于众。
二战英雄、反法西斯勇士拉赫姆詹·霍什卡尔巴耶夫于1988年10月10日在阿拉木图逝世。
在哈萨克斯坦独立后，为勇士恢复荣誉的呼声逐渐得到重视，1999年5月7日，时任哈萨克斯坦总统努尔苏丹·纳扎尔巴耶夫签署总统令，授予拉赫姆詹·霍什卡尔巴耶夫«人民英雄»荣誉称号。
哈萨克斯坦历史学者波拉特·阿萨诺夫曾于2005年致信俄罗斯总统弗拉基米尔·普京，要求俄罗斯官方对霍什卡尔巴耶夫的功绩予以承认。这位学者称，俄罗斯官方的回复中表示，«相关机构人员查证了具体的历史资料，证实您的同胞所作出的功绩是历史事实»。
而在2007年，俄罗斯官方正式承认了霍什卡尔巴耶夫的事迹。"
1.2751E+11,20220826,5027,88936991,自闭思过,男,5,每次看调研室的视频都能感到历史的厚重，时代的洪流裹挟着身处其中的每一个人浮浮沉沉，无论身份地位，混合苦难荣耀。后人看去，能看到浪潮的磅礴，却难以感受身处其中的喜悲。
1.27512E+11,20220826,5351,554738,七亏王,保密,6,"海因里希算是德军中除莫德尔以外的第二防御大师了，奥尔沙之战海因里希指挥德军一个军兵力打垮了索洛可夫斯基指挥的苏军四个集团军……
对，没错，你没看错，是德军一个军对苏军四个集团军，而且其中不乏有大量带有近卫番号的精锐部队，此战苏军步兵数量是德军8倍、火炮数量是德军10倍，但结果苏军不仅战败，而且德军和苏军的伤亡比高达恐怖的一比十以上，此战失利也直接导致索司机被换下马"
1.27507E+11,20220826,8697,454348978,桔味雪碧,男,5,"发个熟知的二战进程表，可能时间有点乱[doge]

谈判:亲切的画家
绥靖:伟大的首相
序幕:分食西斯拉夫
闪击:高卢的落日
凯旋:日耳曼的荣光
迈耶!敦刻尔克大逃杀
坚守:不列颠的倔强
东征:迟来的巴巴罗萨
南下:丛林里的自行车
落子:帝国之光山本七乘八
入局:孤立主义的崩溃
妥协:亚平宁上的远见
梭哈!为了共荣圈
黄昏:柏林郊区的炮火
谎言:诺曼底的幽灵
陨落:最后的灯塔
嘭!嘭!嘭!新生的曜日啊
铁幕:带英的死亡赐福"
1.27521E+11,20220826,5376,29203994,法外狂徒-嘉文,男,5,做饭的时候看小约翰的视频，吃饭的时候看历史调研室的视频，吃完饭就看见乔伊新发的视频，啊，这该死的幸福感[doge]
1.27501E+11,20220826,3137,456878676,不存在的火卫三,男,5,当看到调研室更新了，就证明马上开学了[脱单doge]
1.27864E+11,20220829,2899,18053578,耶路撒好冷,男,5,新的国会大厦挺漂亮的[doge] 玻璃穹顶，只需要预约，不要门票。 里面很多当时的历史图片。德国人对待历史方面比小日本强多了
1.27502E+11,20220826,1488,1313042,myreish,男,6,柏林战役苏军阵亡（或失踪）81116人，受伤280251人，合计361367人。如果算伤亡总量的话在苏军各大战役里并不算多，但考虑到主要战斗只进行了16天，还是非常惊人的
1.27512E+11,20220826,3179,216029353,第六集团军的保卢斯,男,5,"提到柏林战役我不得不说一下国会大厦保卫战，熟悉的1500党卫军，很遗憾这只是一个谣言。
进攻国会大厦的苏军攻击部队：第3突击集团军第150和第171步兵师各一部
4月30日～5月1日损失情况：
150步兵师：阵亡： 59人， 受伤205人
171步兵师：阵亡： 95人， 受伤107人
以上是两个师这两天在整个柏林地区作战的损失 包括在国会大厦以外其他地区作战的损失。
再来看德军防守部队
警卫旗队师仪仗队
明谢贝格装甲师残部
第18国民掷弹兵师残部
人民冲锋队成员
空军部队地面成员
一个海军步兵营
希望不要再被这个谣言骗了"
1.27507E+11,20220826,814,38846169,W世纪D,保密,6,这期视频越看到后面，我就越感觉到《帝国的毁灭》所刻画得究竟有多入木三分，一段洪流裹挟的岁月，一部伟大的影片[tv_点赞]
1.2805E+11,20220830,954,511276375,要发光交电费,女,5,苏德战争的恐怖在于两军都有疯狂的信仰，而且苏德两国都有很恐怖的工业实力
1.27517E+11,20220826,1446,25315614,叽咕叽咕噜咕噜,女,5,不是我说，美国在欧洲战场确实是有点摘桃子，在亚洲战场完全算不上摘桃子吧……太平洋战场12万美军伤亡换了150万日军，这还算摘桃子吗……
1.27515E+11,20220826,710,4322418,王牌特工秋山优花里,保密,6,沿途的德国城市的市民家里都剩硬板床了，为什么？因为弹簧床垫被拿来当T-34的格栅装甲了[滑稽]
1.27509E+11,20220826,692,8156519,哟哟哟哟哟哟哟,保密,6,东方的手和西方的手也曾紧紧握在一起。[再见]，这句话让我想起那首《We Are The World》，想起人们也曾是天下一家，只希望战争不要再来了。
1.27503E+11,20220826,978,1301280502,蒙古汉子,男,4,让我们记住升起胜利旗的英雄：米哈伊尔.叶戈罗夫中士，麦利唐.坎塔里亚下士！
1.27513E+11,20220826,387,60386432,黑桃A的旋律,男,6,亲爱的达瓦里氏，你们可是把象征胜利的红旗插在了极恶敌人的心脏上。
1.27503E+11,20220826,361,1455977644,褪色的狸子,保密,4,我本来以为调研室是要到8月31号再更，没想到如此勤政，还提前了五天[脱单doge]
